date,team_a,team_b,venue,score_a,score_b,actual_margin
2025-11-04,UMBC Retrievers,Penn State-York Nittany Lions,home,74.0,53.0,21.0
2025-11-05,App State Mountaineers,Carolina University Bruins,home,92.0,46.0,46.0
2025-11-05,Binghamton Bearcats,RIT Tigers,home,66.0,56.0,10.0
2025-11-05,East Tennessee State Buccaneers,Converse University Valkyries,home,102.0,50.0,52.0
2025-11-05,Idaho State Bengals,Park University Gilbert Buccaneers,home,81.0,71.0,10.0
2025-11-05,Little Rock Trojans,Arkansas Baptist Buffaloes,home,92.0,63.0,29.0
2025-11-05,Manhattan Jaspers,St. Joseph's (NY) Bears,home,125.0,59.0,66.0
2025-11-05,Middle Tennessee Blue Raiders,Milligan Buffaloes,home,100.0,51.0,49.0
2025-11-05,Missouri State Bears,Missouri Southern State Lions,home,88.0,70.0,18.0
2025-11-05,Monmouth Hawks,Caldwell Cougars,home,96.0,68.0,28.0
2025-11-05,New Mexico State Aggies,Adams State Grizzlies,home,83.0,72.0,11.0
2025-11-05,Presbyterian Blue Hose,Bluefield University Ramblin' Rams,home,105.0,76.0,29.0
2025-11-05,Rice Owls,College Of Biblical Studies Ambassadors,home,109.0,38.0,71.0
2025-11-05,SIU Edwardsville Cougars,East-West University Phantoms,home,119.0,50.0,69.0
2025-11-05,Sacramento State Hornets,Dominican (CA) Penguins,home,103.0,79.0,24.0
2025-11-05,Sacred Heart Pioneers,Merchant Marine Academy Mariners,home,103.0,46.0,57.0
2025-11-05,San Diego Toreros,Occidental Tigers,home,88.0,59.0,29.0
2025-11-05,Santa Clara Broncos,Humboldt State Lumberjacks,home,83.0,53.0,30.0
2025-11-05,UC Santa Barbara Gauchos,San Francisco State Gators,home,98.0,67.0,31.0
2025-11-05,Utah Valley Wolverines,West Coast Baptist Eagles,home,116.0,35.0,81.0
2025-11-06,Cal Poly Mustangs,Pacific Lutheran Lutes,home,101.0,79.0,22.0
2025-11-06,Cal State Bakersfield Roadrunners,Whittier Poets,home,83.0,61.0,22.0
2025-11-06,Elon Phoenix,Belmont Abbey Crusaders,home,99.0,51.0,48.0
2025-11-06,James Madison Dukes,Washington and Lee Generals,home,70.0,56.0,14.0
2025-11-06,Lafayette Leopards,Dickinson (PA) Red Devils,home,79.0,44.0,35.0
2025-11-06,Loyola Maryland Greyhounds,Penn St Abington Nittany Lions,home,96.0,60.0,36.0
2025-11-06,Mercer Bears,LaGrange Panthers,home,101.0,62.0,39.0
2025-11-06,Mississippi Valley State Delta Devils,Mississippi University For Women Owls,home,97.0,61.0,36.0
2025-11-06,Montana Grizzlies,Ottawa (AZ) Spirit,home,73.0,39.0,34.0
2025-11-06,Montana State Bobcats,Northwest Indian RedHawks,home,114.0,44.0,70.0
2025-11-06,Morgan State Bears,Central Penn Knights,home,101.0,77.0,24.0
2025-11-06,New Hampshire Wildcats,Curry College Colonels,home,113.0,31.0,82.0
2025-11-06,Norfolk State Spartans,Regent Royals,home,119.0,55.0,64.0
2025-11-06,Pacific Tigers,Life Pacific Warriors,home,83.0,56.0,27.0
2025-11-06,Prairie View A&M Panthers,Dallas Crusaders,home,94.0,53.0,41.0
2025-11-06,Queens University Royals,Lynchburg Hornets,home,87.0,76.0,11.0
2025-11-06,Richmond Spiders,Southern Virginia Knights,home,84.0,56.0,28.0
2025-11-06,Texas State Bobcats,Texas A&M-San Antonio Jaguars,home,114.0,55.0,59.0
2025-11-06,UTSA Roadrunners,College Of Biblical Studies Ambassadors,home,97.0,30.0,67.0
2025-11-06,Utah Tech Trailblazers,Bethesda University Flames,home,110.0,65.0,45.0
2025-11-06,Vermont Catamounts,Plattsburgh St Cardinals,home,113.0,62.0,51.0
2025-11-07,Bowling Green Falcons,Bethany (WV) Bison,home,120.0,65.0,55.0
2025-11-07,Canisius Golden Griffins,Allegheny Gators,home,84.0,43.0,41.0
2025-11-07,Charleston Southern Buccaneers,Toccoa Falls Eagles,home,106.0,71.0,35.0
2025-11-07,Cleveland State Vikings,Capital Crusaders,home,71.0,70.0,1.0
2025-11-07,Delaware Blue Hens,Wilmington (DE) Wildcats,home,62.0,71.0,-9.0
2025-11-07,Eastern Kentucky Colonels,Midway University Eagles,home,122.0,60.0,62.0
2025-11-07,Evansville Purple Aces,Calumet Crimson Wave,home,92.0,50.0,42.0
2025-11-07,Hampton Pirates,Mid-Atlantic Christian Mustangs,home,103.0,43.0,60.0
2025-11-07,Harvard Crimson,MIT Engineers,home,79.0,50.0,29.0
2025-11-07,Howard Bison,District Of Columbia Firebirds,home,103.0,71.0,32.0
2025-11-07,Incarnate Word Cardinals,Jarvis Christian Bulldogs,home,104.0,60.0,44.0
2025-11-07,Indiana State Sycamores,Illinois Tech Scarlet Hawks,home,104.0,73.0,31.0
