date,team_a,team_b
2025-11-04,UMBC Retrievers,Penn State-York Nittany Lions
2025-11-05,App State Mountaineers,Carolina University Bruins
2025-11-05,Binghamton Bearcats,RIT Tigers
2025-11-05,East Tennessee State Buccaneers,Converse University Valkyries
2025-11-05,Idaho State Bengals,Park University Gilbert Buccaneers
2025-11-05,Little Rock Trojans,Arkansas Baptist Buffaloes
2025-11-05,Manhattan Jaspers,St. Joseph's (NY) Bears
2025-11-05,Middle Tennessee Blue Raiders,Milligan Buffaloes
2025-11-05,Missouri State Bears,Missouri Southern State Lions
2025-11-05,Monmouth Hawks,Caldwell Cougars
2025-11-05,New Mexico State Aggies,Adams State Grizzlies
2025-11-05,Presbyterian Blue Hose,Bluefield University Ramblin' Rams
2025-11-05,Rice Owls,College Of Biblical Studies Ambassadors
2025-11-05,SIU Edwardsville Cougars,East-West University Phantoms
2025-11-05,Sacramento State Hornets,Dominican (CA) Penguins
2025-11-05,Sacred Heart Pioneers,Merchant Marine Academy Mariners
2025-11-05,San Diego Toreros,Occidental Tigers
2025-11-05,Santa Clara Broncos,Humboldt State Lumberjacks
2025-11-05,UC Santa Barbara Gauchos,San Francisco State Gators
2025-11-05,Utah Valley Wolverines,West Coast Baptist Eagles
2025-11-06,Cal Poly Mustangs,Pacific Lutheran Lutes
2025-11-06,Cal State Bakersfield Roadrunners,Whittier Poets
2025-11-06,Elon Phoenix,Belmont Abbey Crusaders
2025-11-06,James Madison Dukes,Washington and Lee Generals
2025-11-06,Lafayette Leopards,Dickinson (PA) Red Devils
2025-11-06,Loyola Maryland Greyhounds,Penn St Abington Nittany Lions
2025-11-06,Mercer Bears,LaGrange Panthers
2025-11-06,Mississippi Valley State Delta Devils,Mississippi University For Women Owls
2025-11-06,Montana Grizzlies,Ottawa (AZ) Spirit
2025-11-06,Montana State Bobcats,Northwest Indian RedHawks
2025-11-06,Morgan State Bears,Central Penn Knights
2025-11-06,New Hampshire Wildcats,Curry College Colonels
2025-11-06,Norfolk State Spartans,Regent Royals
2025-11-06,Pacific Tigers,Life Pacific Warriors
2025-11-06,Prairie View A&M Panthers,Dallas Crusaders
2025-11-06,Queens University Royals,Lynchburg Hornets
2025-11-06,Richmond Spiders,Southern Virginia Knights
2025-11-06,Texas State Bobcats,Texas A&M-San Antonio Jaguars
2025-11-06,UTSA Roadrunners,College Of Biblical Studies Ambassadors
2025-11-06,Utah Tech Trailblazers,Bethesda University Flames
2025-11-06,Vermont Catamounts,Plattsburgh St Cardinals
2025-11-07,Bowling Green Falcons,Bethany (WV) Bison
2025-11-07,Canisius Golden Griffins,Allegheny Gators
2025-11-07,Charleston Southern Buccaneers,Toccoa Falls Eagles
2025-11-07,Cleveland State Vikings,Capital Crusaders
2025-11-07,Delaware Blue Hens,Wilmington (DE) Wildcats
2025-11-07,Eastern Kentucky Colonels,Midway University Eagles
2025-11-07,Evansville Purple Aces,Calumet Crimson Wave
2025-11-07,Hampton Pirates,Mid-Atlantic Christian Mustangs
2025-11-07,Harvard Crimson,MIT Engineers
2025-11-07,Howard Bison,District Of Columbia Firebirds
2025-11-07,Incarnate Word Cardinals,Jarvis Christian Bulldogs
2025-11-07,Indiana State Sycamores,Illinois Tech Scarlet Hawks
2025-11-07,Jacksonville Dolphins,Trinity (FL) Tigers
2025-11-07,Lehigh Mountain Hawks,Valley Forge Patriots
2025-11-07,Lindenwood Lions,Health Sciences & Pharmacy Eutectics
2025-11-07,Old Dominion Monarchs,Randolph College Wildcats
2025-11-07,South Dakota State Jackrabbits,Dakota State Trojans
2025-11-07,Southern Miss Golden Eagles,Tougaloo Bulldogs
2025-11-07,Western Michigan Broncos,Northwood (MI) Timberwolves
2025-11-08,Ball State Cardinals,Mansfield Mountaineers
2025-11-08,Central Arkansas Bears,Champion Christian Tigers
2025-11-08,Coastal Carolina Chanticleers,Virginia-Lynchburg Dragons
2025-11-08,Fordham Rams,Mount Saint Mary (NY) Knights
2025-11-08,High Point Panthers,Averett Cougars
2025-11-08,Idaho Vandals,Whitman Missionaries
2025-11-08,Maryland Eastern Shore Hawks,Cheyney (PA) Wolves
2025-11-08,Mercyhurst Lakers,Penn State-New Kensington Lions
2025-11-08,Miami (OH) RedHawks,Trinity Christian (IL) Trolls
2025-11-08,North Alabama Lions,Lane College Dragons
2025-11-08,Northern Arizona Lumberjacks,Justice College Lions
2025-11-08,Northern Colorado Bears,Colorado Christian Cougars
2025-11-08,Pennsylvania Quakers,Rowan Profs
2025-11-08,Portland State Vikings,Northwest Indian RedHawks
