off_w,def_w,sos_w,hca,fc,fb,thresh,spread_acc,win8,n8,win7,n7,win5,n5
0.46,0.53,0.1,3,5,1,5,74.68%,83.98%,3221,55.35%,271,56.94%,353
0.44,0.55,0.12,2.7,5,0,6,74.98%,83.40%,3290,55.43%,276,56.91%,369
0.44,0.55,0.1,3,5,1,5,74.86%,83.91%,3231,56.20%,274,56.90%,355
0.44,0.54,0.11,2.7,4,1,6,74.86%,83.63%,3232,55.94%,261,56.86%,350
0.44,0.55,0.1,3,5,1,6,74.86%,83.91%,3231,55.80%,276,56.83%,366
0.47,0.52,0.1,3,5,1,5,74.68%,83.96%,3217,55.64%,266,56.82%,352
0.44,0.56,0.12,3,4,0,5,74.83%,83.33%,3336,55.07%,276,56.82%,352
0.48,0.51,0.1,3,5,1,5,74.71%,83.86%,3221,55.47%,265,56.78%,354
0.46,0.53,0.09,3,5,1,5,74.77%,84.65%,3141,55.06%,267,56.77%,347
0.45,0.55,0.11,3,4,0,7,74.90%,83.68%,3290,54.36%,287,56.77%,384
0.48,0.51,0.1,2.5,5,0,6,74.73%,83.98%,3153,56.52%,276,56.76%,370
0.44,0.55,0.12,2.7,5,0,5,74.98%,83.40%,3290,55.56%,270,56.75%,363
0.45,0.54,0.1,3,5,1,5,74.79%,83.88%,3225,55.64%,275,56.74%,356
0.45,0.54,0.09,3,5,1,5,74.68%,84.55%,3146,55.26%,266,56.70%,351
0.44,0.54,0.11,2.7,4,1,7,74.86%,83.63%,3232,56.49%,262,56.70%,351
0.45,0.55,0.1,2.3,4,0,5,74.96%,84.17%,3126,54.64%,280,56.68%,374
0.46,0.53,0.1,3,5,1,6,74.68%,83.98%,3221,55.07%,276,56.68%,367
0.45,0.54,0.1,3,5,1,6,74.79%,83.88%,3225,55.56%,279,56.68%,367
0.44,0.55,0.09,2.7,5,1,5,74.73%,84.61%,3092,55.07%,276,56.67%,360
0.44,0.56,0.12,3,4,0,7,74.83%,83.33%,3336,54.74%,285,56.65%,376
0.44,0.55,0.09,2.3,5,0,5,74.64%,84.48%,3054,56.27%,279,56.64%,369
0.47,0.52,0.12,2.5,5,0,5,74.92%,83.34%,3259,55.64%,266,56.63%,362
0.44,0.56,0.12,2.5,4,0,5,74.98%,83.28%,3278,55.76%,278,56.63%,362
0.47,0.52,0.09,3,5,0,5,74.68%,84.64%,3138,56.88%,269,56.61%,348
0.45,0.54,0.1,2.7,4,0,6,74.73%,83.93%,3179,56.93%,267,56.58%,357
0.44,0.56,0.11,3,4,0,7,74.83%,83.61%,3294,54.51%,288,56.58%,380
0.46,0.53,0.09,3,5,0,5,74.77%,84.65%,3141,56.46%,271,56.57%,350
0.44,0.55,0.09,3,5,1,5,74.68%,84.46%,3146,55.60%,268,56.57%,350
0.48,0.52,0.1,2.5,4,0,5,75.07%,83.97%,3169,54.91%,275,56.57%,373
0.45,0.54,0.1,2.7,4,0,5,74.73%,83.93%,3179,56.77%,266,56.57%,350
0.44,0.54,0.12,2.5,4,1,5,74.92%,83.25%,3253,54.96%,262,56.57%,350
0.46,0.53,0.11,2.7,5,0,6,74.79%,83.67%,3233,55.16%,281,56.56%,366
0.52,0.47,0.11,2.5,5,1,5,74.98%,83.65%,3218,53.82%,262,56.56%,366
0.48,0.51,0.11,2.5,5,1,5,74.81%,83.64%,3216,53.93%,267,56.55%,359
0.49,0.5,0.11,2.7,5,1,5,74.83%,83.59%,3236,55.02%,269,56.55%,359
0.44,0.55,0.12,2.7,5,1,5,74.98%,83.40%,3290,54.85%,268,56.55%,359
0.45,0.54,0.09,2.3,5,0,5,74.58%,84.57%,3046,56.36%,275,56.52%,368
0.44,0.55,0.09,3,4,1,5,74.68%,84.46%,3146,56.32%,261,56.52%,345
0.51,0.48,0.1,3,5,1,6,74.79%,84.10%,3214,54.31%,267,56.52%,368
0.47,0.52,0.11,2.7,5,0,6,74.83%,83.69%,3237,55.04%,278,56.52%,368
0.49,0.49,0.09,2.7,4,1,6,74.88%,84.82%,3097,55.69%,255,56.51%,338
0.45,0.54,0.09,2.7,5,1,5,74.64%,84.65%,3100,55.15%,272,56.51%,361
0.46,0.53,0.09,2.7,5,1,5,74.62%,84.65%,3094,55.56%,270,56.51%,361
0.49,0.5,0.11,2.5,5,1,5,74.83%,83.66%,3220,53.82%,262,56.51%,361
0.44,0.55,0.1,2.7,5,0,6,74.71%,84.09%,3180,55.96%,277,56.49%,370
0.48,0.51,0.11,2.5,5,1,6,74.81%,83.64%,3216,53.99%,276,56.49%,370
0.44,0.56,0.12,2.3,4,0,5,75.03%,83.16%,3243,56.18%,283,56.49%,370
0.44,0.55,0.1,3,4,1,5,74.86%,83.91%,3231,56.88%,269,56.48%,347
0.44,0.55,0.08,2.7,5,1,5,74.56%,85.42%,3005,56.07%,280,56.47%,363
0.44,0.56,0.11,2.7,4,0,5,75.05%,83.65%,3248,56.27%,279,56.47%,363
0.45,0.53,0.12,2.7,4,1,6,74.94%,83.32%,3286,55.60%,259,56.47%,340
0.48,0.51,0.11,2.7,5,1,5,74.79%,83.65%,3241,54.61%,271,56.46%,356
0.46,0.53,0.12,2.7,5,1,5,74.96%,83.38%,3286,55.60%,268,56.46%,356
0.45,0.54,0.12,2.7,5,1,5,74.96%,83.35%,3291,54.85%,268,56.46%,356
0.48,0.51,0.08,3,5,1,5,74.62%,85.07%,3068,53.52%,256,56.45%,349
0.5,0.49,0.1,2.5,5,0,6,74.86%,84.00%,3156,55.76%,278,56.45%,372
0.47,0.53,0.1,2.5,4,0,5,75.01%,83.97%,3162,55.04%,278,56.45%,372
0.49,0.5,0.1,2.5,5,0,6,74.77%,83.92%,3153,55.71%,280,56.45%,372
0.48,0.51,0.11,2.7,5,1,7,74.79%,83.65%,3241,54.96%,282,56.45%,372
0.52,0.47,0.11,2.5,5,1,6,74.98%,83.65%,3218,53.76%,266,56.45%,372
0.44,0.54,0.12,2.5,4,1,6,74.92%,83.25%,3253,54.58%,262,56.45%,349
0.45,0.55,0.12,2.3,4,0,5,75.09%,83.23%,3243,56.07%,280,56.45%,372
0.5,0.49,0.1,3,5,1,6,74.73%,83.89%,3222,54.65%,269,56.44%,365
0.44,0.55,0.11,2.7,5,0,6,74.81%,83.83%,3240,55.56%,279,56.44%,365
0.45,0.54,0.11,2.7,5,0,6,74.75%,83.75%,3243,55.00%,280,56.44%,365
0.47,0.52,0.11,2.7,5,1,6,74.83%,83.69%,3237,55.00%,280,56.44%,365
0.44,0.56,0.12,2.5,5,0,5,74.98%,83.28%,3278,56.45%,287,56.44%,365
0.47,0.52,0.09,3,4,0,5,74.68%,84.64%,3138,57.20%,264,56.43%,342
0.45,0.53,0.12,2.7,4,1,7,74.94%,83.32%,3286,56.11%,262,56.43%,342
0.44,0.55,0.09,2.7,5,0,5,74.73%,84.61%,3092,55.43%,276,56.42%,358
0.45,0.54,0.09,2.3,5,0,6,74.58%,84.57%,3046,56.58%,281,56.42%,374
0.45,0.54,0.1,2.7,5,0,5,74.73%,83.93%,3179,55.93%,270,56.42%,358
0.45,0.55,0.11,3,4,0,5,74.90%,83.68%,3290,53.99%,276,56.42%,358
0.46,0.53,0.11,2.7,5,0,5,74.79%,83.67%,3233,55.27%,275,56.42%,358
0.48,0.51,0.12,2.5,5,0,5,74.92%,83.36%,3257,56.34%,268,56.42%,358
0.45,0.54,0.09,3,5,0,5,74.68%,84.55%,3146,56.25%,272,56.41%,351
0.5,0.49,0.1,3,5,1,5,74.73%,83.89%,3222,54.58%,262,56.41%,351
0.47,0.51,0.08,2.5,4,1,6,74.73%,85.35%,2977,56.11%,262,56.40%,344
0.45,0.54,0.09,3,4,1,5,74.68%,84.55%,3146,55.98%,259,56.40%,344
0.46,0.53,0.1,3,4,1,5,74.68%,83.98%,3221,56.23%,265,56.40%,344
0.47,0.52,0.1,3,5,1,6,74.68%,83.96%,3217,55.31%,273,56.40%,367
0.46,0.54,0.11,2.7,4,0,5,75.13%,83.61%,3252,55.23%,277,56.40%,367
0.45,0.55,0.12,2.5,4,0,5,74.96%,83.31%,3272,55.31%,273,56.40%,367
0.48,0.51,0.12,2.3,5,1,5,74.86%,83.23%,3231,55.06%,267,56.40%,367
0.44,0.55,0.1,2.7,4,0,6,74.71%,84.09%,3180,56.93%,267,56.39%,360
0.48,0.51,0.1,2.5,5,0,5,74.73%,83.98%,3153,56.51%,269,56.39%,360
0.44,0.55,0.11,2.3,5,1,5,74.94%,83.65%,3180,55.88%,272,56.39%,360
0.44,0.55,0.09,3,5,0,5,74.68%,84.46%,3146,56.83%,271,56.37%,353
0.46,0.54,0.1,2.5,4,0,5,74.98%,84.05%,3160,55.43%,276,56.37%,369
0.45,0.54,0.1,2.7,5,0,6,74.73%,83.93%,3179,55.80%,276,56.37%,369
0.48,0.51,0.1,3,5,1,6,74.71%,83.86%,3221,55.15%,272,56.37%,369
0.48,0.51,0.11,2.7,5,1,6,74.79%,83.65%,3241,54.45%,281,56.37%,369
0.46,0.53,0.11,3,5,1,5,74.83%,83.45%,3288,56.18%,267,56.37%,353
0.44,0.56,0.12,3,4,0,6,74.83%,83.33%,3336,54.77%,283,56.37%,369
0.48,0.5,0.08,2.5,4,1,6,74.66%,85.23%,2980,56.37%,259,56.36%,346
0.52,0.47,0.09,3,4,1,5,74.73%,84.67%,3137,52.78%,252,56.36%,346
0.45,0.54,0.1,3,4,1,5,74.79%,83.88%,3225,56.51%,269,56.36%,346
0.44,0.55,0.08,3,5,0,6,74.75%,84.96%,3072,55.84%,274,56.35%,362
0.46,0.54,0.1,2.3,4,0,5,74.98%,84.09%,3136,54.29%,280,56.35%,378
0.51,0.48,0.11,2.5,5,1,5,74.90%,83.67%,3215,53.99%,263,56.35%,362
0.46,0.53,0.12,2.7,5,0,5,74.96%,83.38%,3286,56.09%,271,56.35%,362
0.45,0.54,0.12,2.7,5,0,5,74.96%,83.35%,3291,55.93%,270,56.35%,362
0.48,0.51,0.09,2.7,5,1,5,74.62%,84.75%,3089,54.10%,268,56.34%,355
0.52,0.47,0.09,3,4,0,5,74.73%,84.67%,3137,55.64%,257,56.34%,339
0.5,0.48,0.1,2.7,4,0,7,74.90%,84.05%,3179,56.15%,260,56.34%,339
0.48,0.5,0.11,2.3,4,1,5,74.92%,83.58%,3186,54.86%,257,56.34%,339
0.45,0.54,0.1,2.3,5,0,6,74.77%,83.97%,3126,56.47%,278,56.33%,371
0.46,0.54,0.11,3,4,0,7,74.94%,83.57%,3298,53.52%,284,56.33%,387
0.47,0.52,0.12,2.5,5,0,6,74.92%,83.34%,3259,55.43%,276,56.33%,371
0.47,0.53,0.12,2.5,4,0,5,75.09%,83.32%,3273,54.18%,275,56.33%,371
0.48,0.51,0.09,3,5,1,5,74.60%,84.67%,3137,53.21%,265,56.32%,348
0.47,0.52,0.09,3,5,1,5,74.68%,84.64%,3138,54.14%,266,56.32%,348
