date,commence_time,home_team,away_team,market_spread_home,market_total,bookmaker,snapshot_used_utc
2025-11-04,2025-11-04T23:30:00Z,Purdue Boilermakers,Evansville Purple Aces,-35.0,150.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,Florida St Seminoles,Alcorn St Braves,-27.5,156.5,fanduel,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,East Carolina Pirates,Georgia Southern Eagles,-5.5,149.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,Fordham Rams,NJIT Highlanders,-15.5,146.5,fanduel,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,Kentucky Wildcats,Nicholls St Colonels,-31.5,155.5,fanduel,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,West Virginia Mountaineers,Mt. St. Mary's Mountaineers,-20.0,136.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:00:00Z,South Carolina Gamecocks,North Carolina A&T Aggies,-23.0,143.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T00:30:00Z,Wichita St Shockers,UNC Asheville Bulldogs,-7.5,156.5,fanduel,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:00:00Z,Valparaiso Beacons,Eastern Illinois Panthers,-6.0,144.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:00:00Z,Kansas St Wildcats,UNC Greensboro Spartans,-19.0,148.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:00:00Z,Texas Tech Red Raiders,Lindenwood Lions,-34.5,148.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:00:00Z,Oklahoma St Cowboys,Oral Roberts Golden Eagles,-21.0,165.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:30:00Z,Iowa Hawkeyes,Robert Morris Colonials,-22.5,136.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T01:45:00Z,Duke Blue Devils,Texas Longhorns,-10.5,153.5,draftkings,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T02:00:00Z,Arizona St Sun Devils,Southern Utah Thunderbirds,-17.5,151.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T03:00:00Z,San Diego St Aztecs,Long Beach St 49ers,-25.5,136.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T03:00:00Z,Nevada Wolf Pack,Louisiana Tech Bulldogs,-8.5,137.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T03:00:00Z,Stanford Cardinal,Portland St Vikings,-10.5,145.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T03:00:00Z,UNLV Rebels,Tenn-Martin Skyhawks,-17.5,146.0,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T03:30:00Z,Oregon Ducks,Hawai'i Rainbow Warriors,-13.0,143.5,betonlineag,2025-11-04T22:00:00Z
2025-11-05,2025-11-05T23:00:00Z,Rutgers Scarlet Knights,Rider Broncs,-18.5,139.5,betonlineag,2025-11-05T22:00:00Z
2025-11-05,2025-11-05T23:30:00Z,La Salle Explorers,Coppin St Eagles,-17.5,141.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T00:00:00Z,Butler Bulldogs,Southern Indiana Screaming Eagles,-23.0,156.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T00:00:00Z,Temple Owls,Delaware Blue Hens,-17.0,154.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T00:00:00Z,Temple Owls,Delaware St Hornets,-16.5,154.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T00:00:00Z,Georgia Bulldogs,Maryland-Eastern Shore Hawks,-33.5,142.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T01:00:00Z,Indiana Hoosiers,Alabama A&M Bulldogs,-30.5,146.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T01:00:00Z,Creighton Bluejays,South Dakota Coyotes,-29.5,169.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T01:00:00Z,LSU Tigers,Tarleton State Texans,-15.5,146.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T01:00:34Z,Marquette Golden Eagles,Southern Jaguars,-24.5,154.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T02:00:00Z,New Mexico Lobos,East Texas A&M Lions,-22.5,143.5,draftkings,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T02:00:00Z,Fresno St Bulldogs,South Carolina Upstate Spartans,-9.5,164.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T02:00:00Z,Mississippi St Bulldogs,North Alabama Lions,-23.5,153.5,fanduel,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T02:00:00Z,UC Davis Aggies,North Dakota St Bison,-2.0,143.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T03:30:00Z,Loyola Marymount Lions,Eastern Washington Eagles,-8.5,154.5,betonlineag,2025-11-05T22:00:00Z
2025-11-06,2025-11-06T23:30:00Z,IUPUI Jaguars,LIU Sharks,-4.5,186.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Miami Hurricanes,Bethune-Cookman Wildcats,-16.5,155.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Boston College Eagles,The Citadel Bulldogs,-16.0,144.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,West Virginia Mountaineers,Campbell Fighting Camels,-15.5,138.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Quinnipiac Bobcats,Central Connecticut St Blue Devils,-9.5,150.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Ohio Bobcats,Illinois St Redbirds,0.0,161.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Louisville Cardinals,Jackson St Tigers,-39.5,164.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:00:00Z,Xavier Musketeers,Le Moyne Dolphins,-24.5,156.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T00:30:00Z,Drake Bulldogs,Robert Morris Colonials,-7.5,151.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Abilene Christian Wildcats,Omaha Mavericks,-4.5,151.5,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,South Alabama Jaguars,Alcorn St Braves,-18.5,141.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Auburn Tigers,Merrimack Warriors,-23.5,147.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Northern Iowa Panthers,CSU Northridge Matadors,-10.0,153.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Saint Louis Billikens,Chicago St Cougars,-29.5,155.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Florida Gators,North Florida Ospreys,-41.5,168.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,North Dakota Fighting Hawks,UC Riverside Highlanders,-2.5,147.0,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,North Texas Mean Green,Northwestern St Demons,-11.5,138.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,TCU Horned Frogs,St. Francis (PA) Red Flash,-27.5,152.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:00Z,Texas A&M Aggies,Texas Southern Tigers,-29.5,162.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:21Z,SMU Mustangs,Texas A&M-CC Islanders,-23.5,160.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T01:00:48Z,Iowa State Cyclones,Grambling St Tigers,-33.5,143.5,fanduel,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T02:00:00Z,Loyola (Chi) Ramblers,Mercyhurst Lakers,-22.5,145.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T03:00:00Z,California Golden Bears,Wright St Raiders,-15.0,150.5,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T03:00:00Z,Washington Huskies,Denver Pioneers,-27.5,154.5,betonlineag,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T03:30:00Z,Portland Pilots,Arkansas-Pine Bluff Golden Lions,-12.5,164.5,draftkings,2025-11-06T22:00:00Z
2025-11-07,2025-11-07T22:00:00Z,Colgate Raiders,Northeastern Huskies,-5.5,147.5,draftkings,2025-11-07T22:00:00Z
2025-11-07,2025-11-07T23:00:00Z,Northwestern Wildcats,Boston Univ. Terriers,-16.5,136.5,draftkings,2025-11-07T22:00:00Z
